topic,data,year,value,metric,ten_year_change
Tropical Diseases,global deaths,2009,2051672,,
Tropical Diseases,global deaths,2010,2016434,,
Tropical Diseases,global deaths,2011,1960756,,
Tropical Diseases,global deaths,2012,1895419,,
Tropical Diseases,global deaths,2013,1814474,,
Tropical Diseases,global deaths,2014,NA,,
Tropical Diseases,global deaths,2015,1699509,,
Tropical Diseases,global deaths,2016,1656896,,
Tropical Diseases,global deaths,2017,NA,,
Tropical Diseases,global deaths,2018,NA,,
Tropical Diseases,global deaths,2019,NA,,
Tropical Diseases,global deaths,2020,NA,,
Tropical Diseases,global deaths,2021,NA,,
Tuberculosis,global cases,2009,1417403,,
Tuberculosis,global cases,2010,1386717,,
Tuberculosis,global cases,2011,1353969,,
Tuberculosis,global cases,2012,1321313,,
Tuberculosis,global cases,2013,1289369,,
Tuberculosis,global cases,2014,1261016,,
Tuberculosis,global cases,2015,1236143,,
Tuberculosis,global cases,2016,1213057,,
Tuberculosis,global cases,2017,NA,,
Tuberculosis,global cases,2018,NA,,
Tuberculosis,global cases,2019,NA,,
Tuberculosis,global cases,2020,NA,,
Tuberculosis,global cases,2021,NA,,
Tuberculosis,incidence,2009,NA,"per 100,000 people",-18%
Tuberculosis,incidence,2010,161,"per 100,000 people",-18%
Tuberculosis,incidence,2011,158,"per 100,000 people",-18%
Tuberculosis,incidence,2012,155,"per 100,000 people",-18%
Tuberculosis,incidence,2013,152,"per 100,000 people",-18%
Tuberculosis,incidence,2014,149,"per 100,000 people",-18%
Tuberculosis,incidence,2015,145,"per 100,000 people",-18%
Tuberculosis,incidence,2016,142,"per 100,000 people",-18%
Tuberculosis,incidence,2017,138,"per 100,000 people",-18%
Tuberculosis,incidence,2018,135,"per 100,000 people",-18%
Tuberculosis,incidence,2019,133,"per 100,000 people",-18%
Tuberculosis,incidence,2020,130,"per 100,000 people",-18%
Tuberculosis,incidence,2021,127,"per 100,000 people",-18%
Malaria,Incidence,2009,70.6,"per 1,000 people at risk",-11%
Malaria,Incidence,2010,69.5,"per 1,000 people at risk",-11%
Malaria,Incidence,2011,66.5,"per 1,000 people at risk",-11%
Malaria,Incidence,2012,64.3,"per 1,000 people at risk",-11%
Malaria,Incidence,2013,61.8,"per 1,000 people at risk",-11%
Malaria,Incidence,2014,59.8,"per 1,000 people at risk",-11%
Malaria,Incidence,2015,58.9,"per 1,000 people at risk",-11%
Malaria,Incidence,2016,58.7,"per 1,000 people at risk",-11%
Malaria,Incidence,2017,59.2,"per 1,000 people at risk",-11%
Malaria,Incidence,2018,57.2,"per 1,000 people at risk",-11%
Malaria,Incidence,2019,56.3,"per 1,000 people at risk",-11%
Malaria,Incidence,2020,59.5,"per 1,000 people at risk",-11%
Malaria,Incidence,2021,NA,"per 1,000 people at risk",-11%
Malaria,deaths,2009,918165,,
Malaria,deaths,2010,910161,,
Malaria,deaths,2011,868828,,
Malaria,deaths,2012,806421,,
Malaria,deaths,2013,752017,,
Malaria,deaths,2014,724533,,
Malaria,deaths,2015,703065,,
Malaria,deaths,2016,660569,,
Malaria,deaths,2017,629854,,
Malaria,deaths,2018,631744,,
Malaria,deaths,2019,643381,,
Malaria,deaths,2020,NA,,
Malaria,deaths,2021,NA,,
Polio,Incidence,2009,1787,reported cases,-54%
Polio,Incidence,2010,1412,reported cases,-54%
Polio,Incidence,2011,716,reported cases,-54%
Polio,Incidence,2012,293,reported cases,-54%
Polio,Incidence,2013,481,reported cases,-54%
Polio,Incidence,2014,415,reported cases,-54%
Polio,Incidence,2015,106,reported cases,-54%
Polio,Incidence,2016,42,reported cases,-54%
Polio,Incidence,2017,118,reported cases,-54%
Polio,Incidence,2018,138,reported cases,-54%
Polio,Incidence,2019,554,reported cases,-54%
Polio,Incidence,2020,1253,reported cases,-54%
Polio,Incidence,2021,649,reported cases,-54%
Polio,deaths,2009,NA,reported cases,
Polio,deaths,2010,NA,reported cases,
Polio,deaths,2011,NA,reported cases,
Polio,deaths,2012,NA,reported cases,
Polio,deaths,2013,NA,reported cases,
Polio,deaths,2014,NA,reported cases,
Polio,deaths,2015,NA,reported cases,
Polio,deaths,2016,NA,reported cases,
Polio,deaths,2017,NA,reported cases,
Polio,deaths,2018,NA,reported cases,
Polio,deaths,2019,NA,reported cases,
Polio,deaths,2020,NA,reported cases,
Polio,deaths,2021,NA,reported cases,
HIV / AIDS,Incidence (new cases),2009,2399929,,
HIV / AIDS,Incidence (new cases),2010,2370918,,
HIV / AIDS,Incidence (new cases),2011,2342046,,
HIV / AIDS,Incidence (new cases),2012,2314238,,
HIV / AIDS,Incidence (new cases),2013,2285709,,
HIV / AIDS,Incidence (new cases),2014,2265234,,
HIV / AIDS,Incidence (new cases),2015,2243665,,
HIV / AIDS,Incidence (new cases),2016,2196714,,
HIV / AIDS,Incidence (new cases),2017,2131659,,
HIV / AIDS,Incidence (new cases),2018,2042488,,
HIV / AIDS,Incidence (new cases),2019,1989282,,
HIV / AIDS,Incidence (new cases),2020,NA,,
HIV / AIDS,Incidence (new cases),2021,NA,,
HIV / AIDS,"deaths per 100,000",2009,20.62,,
HIV / AIDS,"deaths per 100,000",2010,19.09,,
HIV / AIDS,"deaths per 100,000",2011,17.71,,
HIV / AIDS,"deaths per 100,000",2012,16.32,,
HIV / AIDS,"deaths per 100,000",2013,15.129999999999999,,
HIV / AIDS,"deaths per 100,000",2014,14.219999999999999,,
HIV / AIDS,"deaths per 100,000",2015,13.47,,
HIV / AIDS,"deaths per 100,000",2016,12.850000000000001,,
HIV / AIDS,"deaths per 100,000",2017,12.06,,
HIV / AIDS,"deaths per 100,000",2018,11.219999999999999,,
HIV / AIDS,"deaths per 100,000",2019,10.719999999999999,,
HIV / AIDS,"deaths per 100,000",2020,NA,,
HIV / AIDS,"deaths per 100,000",2021,NA,,
HIV / AIDS,total deaths,2009,1.45,million deaths,
HIV / AIDS,total deaths,2010,1.37,million deaths,
HIV / AIDS,total deaths,2011,1.28,million deaths,
HIV / AIDS,total deaths,2012,1.2,million deaths,
HIV / AIDS,total deaths,2013,1.1300000000000001,million deaths,
HIV / AIDS,total deaths,2014,1.07,million deaths,
HIV / AIDS,total deaths,2015,1.03,million deaths,
HIV / AIDS,total deaths,2016,0.97,million deaths,
HIV / AIDS,total deaths,2017,0.9500000000000001,million deaths,
HIV / AIDS,total deaths,2018,0.89,million deaths,
HIV / AIDS,total deaths,2019,0.8600000000000001,million deaths,
HIV / AIDS,total deaths,2020,NA,million deaths,
HIV / AIDS,total deaths,2021,NA,million deaths,
Tuberculosis,Incidence,2009,161,"per 100,000 people",-18%
Tuberculosis,Incidence,2010,158,"per 100,000 people",-18%
Tuberculosis,Incidence,2011,155,"per 100,000 people",-18%
Tuberculosis,Incidence,2012,152,"per 100,000 people",-18%
Tuberculosis,Incidence,2013,149,"per 100,000 people",-18%
Tuberculosis,Incidence,2014,145,"per 100,000 people",-18%
Tuberculosis,Incidence,2015,142,"per 100,000 people",-18%
Tuberculosis,Incidence,2016,138,"per 100,000 people",-18%
Tuberculosis,Incidence,2017,135,"per 100,000 people",-18%
Tuberculosis,Incidence,2018,133,"per 100,000 people",-18%
Tuberculosis,Incidence,2019,130,"per 100,000 people",-18%
Tuberculosis,Incidence,2020,127,"per 100,000 people",-18%
Tuberculosis,Incidence,2021,NA,"per 100,000 people",-18%
Tuberculosis,deaths,2009,21,"per 100,000 people",-15%
Tuberculosis,deaths,2010,21,"per 100,000 people",-15%
Tuberculosis,deaths,2011,20,"per 100,000 people",-15%
Tuberculosis,deaths,2012,19,"per 100,000 people",-15%
Tuberculosis,deaths,2013,19,"per 100,000 people",-15%
Tuberculosis,deaths,2014,18,"per 100,000 people",-15%
Tuberculosis,deaths,2015,18,"per 100,000 people",-15%
Tuberculosis,deaths,2016,17,"per 100,000 people",-15%
Tuberculosis,deaths,2017,17,"per 100,000 people",-15%
Tuberculosis,deaths,2018,16,"per 100,000 people",-15%
Tuberculosis,deaths,2019,16,"per 100,000 people",-15%
Tuberculosis,deaths,2020,17,"per 100,000 people",-15%
Tuberculosis,deaths,2021,NA,"per 100,000 people",-15%
Countries Who've Eradicated Malaria,no. of countries,2009,65,,51%
Countries Who've Eradicated Malaria,no. of countries,2010,71,,51%
Countries Who've Eradicated Malaria,no. of countries,2011,72,,51%
Countries Who've Eradicated Malaria,no. of countries,2012,98,,51%
Countries Who've Eradicated Malaria,no. of countries,2013,98,,51%
Countries Who've Eradicated Malaria,no. of countries,2014,98,,51%
Countries Who've Eradicated Malaria,no. of countries,2015,99,,51%
Countries Who've Eradicated Malaria,no. of countries,2016,101,,51%
Countries Who've Eradicated Malaria,no. of countries,2017,101,,51%
Countries Who've Eradicated Malaria,no. of countries,2018,103,,51%
Countries Who've Eradicated Malaria,no. of countries,2019,105,,51%
Countries Who've Eradicated Malaria,no. of countries,2020,105,,51%
Countries Who've Eradicated Malaria,no. of countries,2021,107,,51%
Smoking,% smoking,2009,NA,,-17%
Smoking,% smoking,2010,27.8,,-17%
Smoking,% smoking,2011,NA,,-17%
Smoking,% smoking,2012,NA,,-17%
Smoking,% smoking,2013,NA,,-17%
Smoking,% smoking,2014,NA,,-17%
Smoking,% smoking,2015,25.2,,-17%
Smoking,% smoking,2016,NA,,-17%
Smoking,% smoking,2017,NA,,-17%
Smoking,% smoking,2018,23.4,,-17%
Smoking,% smoking,2019,23.4,,-17%
Smoking,% smoking,2020,23,,-17%
Smoking,% smoking,2021,NA,,-17%
Deaths from Smoking,"deaths per 100,000 people",2009,116,,
Deaths from Smoking,"deaths per 100,000 people",2010,113,,
Deaths from Smoking,"deaths per 100,000 people",2011,111,,
Deaths from Smoking,"deaths per 100,000 people",2012,108,,
Deaths from Smoking,"deaths per 100,000 people",2013,106,,
Deaths from Smoking,"deaths per 100,000 people",2014,103,,
Deaths from Smoking,"deaths per 100,000 people",2015,102,,
Deaths from Smoking,"deaths per 100,000 people",2016,99.79,,
Deaths from Smoking,"deaths per 100,000 people",2017,97.79,,
Deaths from Smoking,"deaths per 100,000 people",2018,96.59,,
Deaths from Smoking,"deaths per 100,000 people",2019,95.61,,
Deaths from Smoking,"deaths per 100,000 people",2020,NA,,
Deaths from Smoking,"deaths per 100,000 people",2021,NA,,
Cancer Survival Rates,,2009,NA,,
Cancer Survival Rates,,2010,NA,,
Cancer Survival Rates,,2011,NA,,
Cancer Survival Rates,,2012,NA,,
Cancer Survival Rates,,2013,NA,,
Cancer Survival Rates,,2014,NA,,
Cancer Survival Rates,,2015,NA,,
Cancer Survival Rates,,2016,NA,,
Cancer Survival Rates,,2017,NA,,
Cancer Survival Rates,,2018,NA,,
Cancer Survival Rates,,2019,NA,,
